Name,User,Message,Profile,Age,Character Art,Embed Color,Identity,Known History,Origin,Other Names,Physical Description,Pronouns,Species,Theme
"""Fox""",181544205796114433,1346227040302530560,fb0df85e-5389-4ce1-a9a8-80b80fe1446f,25,https://i.imgur.com/kuFDuFY.png,,Indebted Ghost Who Wants More,"Little is known about ""Fox"" other than that they are under the employment of ETA. Taking care of enforcement or other protection operations for the company. If someone would have worked for SWORD a few year prior they might know of his previous alias. Besides for that, his history is largely covered up by ETA.",Silver Rock - Haven - Terra,,Fox stands roughly around 5'10 (177cm). He has vibrant blue hair that's been dyed from its normal colors. A pair of glasses rest neatly against his nose and a same color of blue fills his irises. Usually dressed in warmer clothing with a scarf around his neck. His jacket having the E.T.A logo along the arm and back. On his back is a long bag with a zipper along the top of it. Usually he has a small wrist-pad that assists him with Soulrunning or technology usage in general.,He/Him,Human w/ Animal Mods,Freedom
"""Kage""",155487148294799360,1354249237386362880,54729b64-18d0-42f9-a30c-aa1b395900f8,19,https://i.postimg.cc/c4fZycDT/Kage-banner-3.png,,A Lonely Shadow Seeking Balance,"- Born in the forests surrounding Sakai, after a failed Kitsune expedition from the south.
- Her parent, instead of leaving her to the elements choose to excommunicate themselves from Sakai
- Years later the child would return to Sakai, now changed and alone
- Taking up the name ""Kage"", she'd become a Disciple under the leader of Sakai, seeking to learn balance and perhaps one day reverse whatever have caused their body to change
- Despite never fully fitting in, she'd find companionship with several new pupils who see her for the warrior she is, and not the monster that others see
- Having reached a plateau in her cultivation, her master suggested her to leave for the deserts. To either overcome her trials, or to do what many before her has and slaughter Yokai.
- Seeking a better alternative for the people of Sakai, she'd try and overcome her trials, only to be left in a pool of her own blood. Not long after she was caught in an all too familiar storm, lifting her to the worldhelm.","Sakai, Teisei, Tian Yin",,"After a ritual that pushed her to her limits, Kage now resembles more of a person and less of a walking nightmare. Standing at roughly five feet four, the young Half-Kitsune seems far healthier than when she first appeared on the Worldhelm. She now possesses an athletic physique befitting her station, no longer marred by the side-effects of her training. While her almost glowing cyan eyes remain alongside the foxfire burning within her body, her expressions are no longer muted, wearing her emotions far more freely.

Her wardrobe consists of her old bodysuit, now far more distinguishable from her pitch black skin, however she no longer hides herself behind an oversized poncho, opting instead to wear a sleeveless open vest. Her attire is dotted with white and grey geometrical shapes and symbols, in the past she marked herself as such as to not truly disappear in pitch black darkness, nowadays however it’s simply to remember the past.",She/Her,Half-Kitsune,Guilt
"""Trillion""",181593003008327680,1332873290246524928,7542de01-a995-4797-8019-df83a2e9f585,"Actual: Timeless Demon
Appearance: 18+ years",https://i.imgur.com/ekvEbyt.png,#339acc,Demon with a Heart of Gold,"The demon known as ""Trillion"" has been around for a time immeasurable by human standards. Once the leader of a great Circle, he has long since lost his people to the many horrors of the Third Layer of Idyll. No longer a Witch of the Circles, ""Trillion"" finds himself seeking a new way of surviving, as well as a new flock to shepherd. A sudden revelation has sparked an ideology of pacifism; if the great Kuzunoha has been corrupted by madness, then he will bring peace to her furious hunger through self-example. He now serves to guide others onto this same journey. And, if you ask nicely, he may just let you know his name.","Aaruna, Third Layer of Idyll",,"""Trillion"" stands at a modest height of 5'9"", with a slim, athletic frame akin to that of a young adult. His youthful appearance is marked by his vibrant blue hair and glowing golden eyes; however, he is also easily distinguished by his demonic features that have manifested with his time as a revered Witch of Aaruna. Equally vibrant blue scales fleck across his face, neck, and limbs; and his slender fingers are complemented by long and sharp, black nails. Despite this, there is an overall welcoming warmth to his composure.",he/him,Demon,Pacifism
"'Dr"" Maxwel Luuv",162680177665638401,1337436851837075712,892aab37-a7b8-495e-9c05-ee828595bf79,32,https://i.imgur.com/ZYPY1QX.png,,Bombastic Sciencetific Love Guru,"-Parabellum field researcher
-Pirate Radio host
-Squatting in a super condemned mcmansion",Mt Providence Squatter,,Flashily dressed scientist with pink/purple died hair constantly carrying gadgets,He/Him,Human (Scientist),Inspiration
(the last) Stroke (on the canvas,617280338632114187,1343304163118809088,c535678a-556d-43a5-989a-40e304dedce4,65,https://i.imgur.com/0694ZNl.jpeg,,A Dream painting Reality,"Two things are quickly noticeable about Stroke: They have a hunger for all experiences, even the bad ones, enjoying them quite thoroughly, for one. Two, they are an oddball. Stroke, or ""The last stroke on the canvas"" in full, seems to look at reality a bit differently. Using very odd metaphors, they see possibilities rather than facts.

Their history is traceable to the settlement of Snowmaw in Kor'Tarion, where Stroke was found near Spirit's Grove, nearly frozen to death but laughing in the cold snow. Stroke quickly picked up language and told about ""being here in this wonderful realm since my old job kicked me out"". 

Soon enough, Stroke turned out to be a Fae that was sort of trapped in the Mortal Realm. A peculiar talent they brought along was to be able to use their surroundings to 'paint' magic into existence.

For now, Stroke is using their abilites to travel the world and help. And experience all they can. Except webs. Webs suck.",Fae Lands in Kor'Tarion,Stroke,"Stroke is a middle-sized individual with their 1.7 m, having blue hair ""like the droplets of dew on a sunny day"" like they will tell you. They have a scrawny build, but can swing their staff-sized staff quite easily. In their face, they are spotting freckles beneath their violet eyes, the freckles sometimes looking like splashes of color.  

They also have a very peculiar way of speaking, using metaphors and personifications that seem odd but seem to hold meaning for them.",they/them (but she/her is also fine),Fae,Discovery
A'shibah,181593003008327680,,131dcc78-fc2c-4424-be8e-20de83ae4094,27,https://i.imgur.com/LrrhuTc.jpeg,,Trapped Soul Seeking Oblivion,"- Born the seventh son of a Hiear merchant family.
- Family was killed; but used his body to shield his twin brother, Levan.
- Levan failed a ritual to revive the family, A'shibah took the consequence by making a deal with Akhir.
- A'shibah promised his soul to oblivion, but Musta'khan managed to save him by binding the brothers together.
- Now lives inside of Levan, sharing the same soul vessel.","The Hiear Warrens
Windhaven, Nezmira",The Ashen One,"A'shibah is tall, even for Hiear standards, and stands at an impressive 6'3"" (7'2"" with his ears perked). His hair and fur are a shock of white, as is iconic for the Hiear of his family, and his eyes are a piercing gold. Though fraternal twins, A'shibah is actually quite different than his brother, Levan, putting the obvious hereditary genes aside. He seems to bear an oppressive aura of intimidation and despair as he rarely speaks anymore; however, despite this, there still appears to be a hint of good and kindness about him, especially with regards to his brother.",He/They,Hiear,Brotherhood
ALRAUNE,285195908792975372,,3cdf7f87-c526-4940-b6be-ef8caf923df3,,,,Tenacious Twinblade,,,,,,,Hope
Abhila (Asva),173539943426031616,1315509729749110784,2474808b-bcf6-4a6f-a7ec-01eb9d26db80,23,https://imgur.com/ZgJ2K57.png,,The Snake Who Deceives Himself,"Born in a small village on the edges of the Tiger Lands. Asva growing up grew fascinated with music and how it can influence animals. He decided go around his village showing his talents off being able to use music and movements to have snakes mimic himself. After entertaing quite a few common folks. Though one day Asva had gotten an oppertiuny of a lifetime, show his talents with snakes to the Great House Ijya, which sadly ended up being his biggest mistake. When the moment comes he ends up to perform to the head of the house herself, though sadly she was not amuse when she saw Asva's performance not really understanding the snakes instead making them mimic his movenments. For this insult, Bhaviini ended up cursing Asva giving him a ""Snakes Tounge"" and banishing him from the House which also includes his home village. Without much left Asva was about to take the chance at the Tiger Lands before getting swept up to the Worldhelm.",Bahata (Tiger Lands),,"A new form as Asva is now a snake, taking a form of a spirit from the Viper Gardens.",He/Him,Snake,Atonement
Adelphel Durand,95869822574809088,1339382783512150016,5f2bd3cf-28ac-4352-9b67-f767abab2d97,Appears to be 20s?,https://i.pinimg.com/736x/4c/9f/c3/4c9fc3968dc532d8bc53a35101b72578.jpg,,A Glimmer of Approaching Dawn,"A armored man like that of a knight in appearance, they travel around Kor'Tarion to and fro just aiding people along the way. From things like protecting travelers from bandit muggings to aiding with work on a farm as a form of payment. They say they don't have a destination for their travel or don't remember exactly what journey they set off for, but they know it involved meeting or helping the people.","Kor’Tarian, Aldar Wilds",,"A man standing at about 5'11, medium length dark brown hair and a darker olive skin tone with hazel hued eyes, they have an odd faint glow about them in both eyes and body. Holding a genuinely young and kind expression that easily shifts to earnest one in times of hardship and danger. Their hands are somewhat bruised and rough from work and battle. They are very well acquainted to physical labor of many kinds for long hours just to get by during travels and it shows.",He/Him,Human?,Hope
Aelina Van Deivoet,151914442035036160,1335967492987817984,a5fdee82-64b7-4832-980a-4b1b4d95cf73,20,https://i.imgur.com/uk2gbec.jpeg,,Pressured Blade with a Storm Inside,"Awlina is a third generation lost of the house of Van Deivote. A noble house in one of the underwater cities of Ripplith that has a connection to storms. They act alongside the wardens to protect the settlement from the dangers of deep. Aelina herself is the current heir to the house and would take over when her mother retires or dies. For now though, she has been sent to Gnosis Academy to be a part of the house of Treasures where she became the Regalia known as ᵀʰᵉ CloudBurst.

Those form the academy would know her for the scandal of her being rejected at the ceremony of binding. This leads to her declining grades and sudden crash of her self confidence that led her to remodel courses on the Worldhelm.","Ripplith, Kaiway",,"Aelina is a medium height woman with straight purple hair that always seems well conditioned and cared for. She has two black horns on the top of her head and her violet eyes seem glimmer and shine with something like electricity. She is usually dressed in her school uniform but when she isn’t she wears a formal, almost regal, military like regalia. On her hands there are 9 rings, one on every finger except the ring finger of her left hand.",She/her,Demi-human Lost,Abandonment
