Requested User ID,Character Name,Last Requested
464911746088304650,Myffa Sirrokh,2025-04-09T04:46:17.767879
464911746088304650,Elara Alksnis,2025-04-09T04:46:08.041164
594008151779573762,Ranmaru,2025-04-09T04:58:52.314263
409390729627041792,Crystalia,2025-04-11T07:53:33.739103
84441917282062336,Isolde Forvelkanta,2025-04-12T13:24:19.514739
59810251750252544,Yin Yue,2025-04-09T06:28:25.002401
155487148294799360,Lin Shěn,2025-04-12T07:23:42.860960
95869822574809088,Tatsuya Sakanagi,2025-04-12T18:27:45.878138
106596968976957440,Elijah-2615,2025-04-10T21:56:10.366401
190987976224931840,Kanon (賀音),2025-04-12T22:24:08.215072
226351330950643713,Eris L'arca,2025-04-09T07:28:46.098358
365605862615810049,Gladiolus Amendola,2025-04-12T07:23:55.712107
135262899844284416,Vespa,2025-04-09T08:25:59.280530
465582019150217226,Koishi,2025-04-09T09:45:23.977113
223253130417012736,Despina — ᵀʰᵉ Deliverance,2025-04-12T18:23:10.643789
906579876792918036,Vania,2025-04-09T12:11:45.045927
491765200727310337,Tomiko Umikiri,2025-04-12T14:13:12.605932
234838935442948098,Caelan Blacklaw,2025-04-12T18:21:20.643714
831393600553484308,Trinity Heartwell,2025-04-12T19:50:30.296558
560244151258578964,Lynne-4,2025-04-11T16:32:17.754146
413926319886303233,"Waylen Karson, AKA Millenium",2025-04-09T14:50:29.995934
283019070578753536,Guo Mùchén,2025-04-10T02:56:58.025030
80826834912018432,Apollo Marinelli - ᵀʰᵉ Overture,2025-04-10T00:00:09.884218
117746946139095040,Robbins,2025-04-09T18:27:21.693008
173539943426031616,Valen Bell,2025-04-09T21:48:47.285055
145516833817100288,Baaxee,2025-04-10T20:59:31.651330
169795599758131200,Musashi Shiori,2025-04-11T00:53:24.432516
95487748466544640,"Suitori Izu, Wardancer",2025-04-09T21:50:04.060426
419689143443128321,Noir,2025-04-11T00:53:37.728002
465582019150217226,Retti,2025-04-09T22:09:43.388143
106596968976957440,Zophiel,2025-04-09T21:58:25.179223
178906027914297344,Lupo,2025-04-09T22:14:47.064423
84441917282062336,Marianne Cheon,2025-04-11T06:30:05.754458
457645105122115615,Tyra Godbinder,2025-04-11T00:52:54.568268
353985904760586242,Cora,2025-04-09T22:24:53.505819
184433219079372800,Fabri Caetspells,2025-04-09T22:25:19.133004
108744783031185408,Trif,2025-04-12T18:10:08.125175
906579876792918036,Mae Lavery,2025-04-12T16:01:30.824074
181593003008327680,Icarus Vittore,2025-04-11T00:57:16.894885
419689143443128321,Eluna,2025-04-12T18:30:28.816809
173539943426031616,Alexander Romani,2025-04-12T18:22:26.992923
151914442035036160,Aelina Van Deivoet,2025-04-09T22:32:43.354901
308792711274692610,Caspian Riviera,2025-04-09T22:33:09.432254
1163222581478948915,Ioes,2025-04-12T12:23:49.096483
247940619022893065,Nai Ki'tari,2025-04-09T22:39:02.970070
906579876792918036,Aerah,2025-04-09T23:08:48.824377
384371410576998401,Alexei Volkov,2025-04-09T23:15:46.876740
321568886325510144,Lochlann Carlisle,2025-04-13T07:14:03.330432
66337541518790656,Vanille Kuylenberg,2025-04-10T01:31:16.337941
173539943426031616,Tsuihō Hira,2025-04-10T03:02:01.758213
789352847505489981,Miruna 'Rue' Dzata,2025-04-12T18:20:15.909274
243746887780270081,Dane Alston,2025-04-12T11:41:27.028725
299015281853071360,Saroja,2025-04-10T16:06:52.250471
413926319886303233,Xing Wei,2025-04-10T17:40:47.776554
124671590775390208,Gin,2025-04-10T21:18:06.079924
247940619022893065,Dr. Lawrence Faust,2025-04-10T22:01:30.542455
457645105122115615,Thamalaine & Thamalina,2025-04-12T19:43:41.068796
184433219079372800,"Iris Blue, The Bleeding Heart",2025-04-11T00:51:49.055483
299015281853071360,Erin Shephard,2025-04-11T00:53:53.732343
457645105122115615,Lionel Il'Hrarra,2025-04-13T02:37:46.521948
140811574737764352,Circuit,2025-04-11T00:56:01.745209
227988328119533568,Dante Calaviero,2025-04-11T00:56:04.797563
419689143443128321,Cyph,2025-04-11T01:04:37.938977
617280338632114187,Stroke,2025-04-11T01:04:56.495816
190987976224931840,Charlies erp Jagan,2025-04-11T03:42:48.149899
82190807011962880,Keith Walker,2025-04-11T10:49:14.349837
365605862615810049,Gyalwa Jigme,2025-04-11T11:00:35.632085
155487148294799360,Keiji Saito,2025-04-11T11:02:49.239561
596115626053861396,"Timothy ""Heimdallr"" Maclain",2025-04-11T12:15:23.312882
165217844039122944,Taavi,2025-04-11T12:54:52.748615
223253130417012736,Takaoka Kiyo,2025-04-11T14:37:57.171199
178284834978791425,Calibre Harmony,2025-04-11T15:18:32.821339
140811574737764352,"Nasim (""Viper"")",2025-04-11T15:31:26.797567
299015281853071360,Amelia Green,2025-04-11T15:37:26.027343
283019070578753536,Sloan Romani,2025-04-11T15:37:51.020221
283019070578753536,"Russo ""Basil"" Abetti",2025-04-11T16:43:12.314690
186680561501339651,Monique,2025-04-11T18:10:34.079106
413926319886303233,Waylen Karson,2025-04-12T04:51:06.580057
789352847505489981,Isobel Ashwynd,2025-04-13T03:19:00.845359
95487748466544640,Elaine Sejr,2025-04-12T07:23:50.479814
237438769840652291,"""Fenn""",2025-04-12T07:24:52.957298
59810251750252544,Aer Drasil,2025-04-12T18:21:03.294521
155487148294799360,Levan,2025-04-12T18:19:51.645905
59810251750252544,Ronan Ashwynd,2025-04-12T07:31:36.174251
140595221300772864,Cyrus Sand,2025-04-12T18:20:01.044105
84441917282062336,Brooks Howard,2025-04-12T08:13:57.185810
302614625218985984,Daisy Starbloom,2025-04-12T08:30:03.420470
227988328119533568,Epsilon J. Affogato,2025-04-12T09:18:28.572426
906579876792918036,Neishin,2025-04-12T10:18:06.498117
145516833817100288,Brigitta - ᵀʰᵉ Superstar,2025-04-12T13:51:16.558480
308792711274692610,Alec Lyon,2025-04-12T15:43:02.687155
181593003008327680,"""Trillion""",2025-04-12T18:57:29.925889
243746887780270081,Reynaud Girardin,2025-04-12T20:44:04.024922
223253130417012736,Liliwen Bremblebery,2025-04-12T20:45:32.336086
906579876792918036,Fernia,2025-04-12T20:45:50.804123
234838935442948098,Cypher Yuten,2025-04-12T20:50:30.795600
308792711274692610,Raia,2025-04-12T20:52:48.995200
308792711274692610,"Koishikawa ""Kawa"" Sasaki",2025-04-12T20:52:57.845643
886623433306288158,Kaalim Angura,2025-04-12T21:45:27.881866
886623433306288158,Céline Brighttail,2025-04-13T03:59:32.417446
162834639080128512,Mori Cadwal,2025-04-13T03:17:19.721643
140595221300772864,Echo,2025-04-13T03:19:38.773983
190954851113500673,Selvaria Lightheart,2025-04-13T07:09:11.823097
