Name,User,Message,Profile,Character Art,Character Bio Link,Character Sheet Link,Class List,Embed Color,Level,Origin,Other Names,Physical Description,Quirks,Rare Equipment,Related Arcana,Story Summary,Theme
"""Fenn""",237438769840652291,1364387149151080448,587256b7-2c38-427c-b687-d50fb25fd8be,https://i.imgur.com/OANLfSO.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1336157095178932327,https://docs.google.com/spreadsheets/d/1QkLNKpvHJsBMtrcuwM4pkP60ZmGtStF_dWw2Zlx-gQo/edit?gid=0#gid=0,"Rogue 3
Symbolist 2
Chanter 5",,10,"The Faerie Realm, Kor'Tarion",,"Fenn is a short foxlike humanoid with wild hair and a ceramic white mask that covers her face.  She wears simple clothing, and has emerald green eyes that can sometimes be seen behind her mask","**Outcast Fairy**
Speak to Beasts, Elementals, Plants
Learn 1 spell (Drain Spirit)
Do rituals
Use rituals to transport creatures into/out of faerie realm
Weakness: When Fenn loses their mask, they have to obey all commands they're given by the first person who's eyes they look into.  This effect is broken if she wears her mask again.",,,"-Kicked out of Fairy Realm
-Kidnapped by a noble to Lastport
-Escaped and left him for dead
-Lived in Gwaed Forest
-Stole to survive",Freedom
"""Fox""",181544205796114433,1353790392230744064,d38608be-ea73-4ce6-a1ae-eab8544bed66,https://i.imgur.com/uDwd1Cx.png,,https://docs.google.com/spreadsheets/d/1VXnTAITmHHuDCNxxF5O1cm5UjQhgtVYRCVXdu46YEhw/edit?usp=sharing,"2 Loremaster
3 Esper
1 Commander",,6,Silver Rock - Haven - Terra,,Fox stands roughly around 5'10 (177cm). He has vibrant blue hair thats been dyed from its normal colors. A pair of glasses rest neatly against his nose and a same color of blue fills his irises. Usually dressed in warmer clothing with a scarf around his neck. His jacket having the E.T.A  logo along the arm and back. On his back is a long bag with a zipper along the top of it. Usually he has a small wristpad that assists him with Soulrunning or technology usage in general.,,,,"- Was raised in a 'paycheck to paycheck' kind of family. Eventually wanted to make something of his life and started learning anything and everything he could.
- Eventually became a rising star in the area of Soulrunning. SWORD took notice of his work and hired him to lead a small team of Temps.
- Worked as a Temp for a few years till a new hire was assigned to his team by the name of Yuna. Soon after that the team was killed in an ambush besides for Yuna and Gabriel.
- ETA took notice of the failed job and forced them both into a debt that they needed to worked under ETA to pay off.
- Was assigned the Callsign ""Fox"" and Gabriel Astrea was pronounced KIA on the mission they failed.",Freedom
"""Kage""",155487148294799360,1358349172817924096,59625abb-8814-4c6b-a793-196b878d2747,https://i.postimg.cc/c4fZycDT/Kage-banner-3.png,https://discord.com/channels/1169852846083153941/1170111183869706362/1354043829782708274,"[Silent shadow glides,
Soft whispers through moonlit trees,
Calm in night's embrace.](https://docs.google.com/spreadsheets/d/1DufpwzVEk9ytDnAG-xDGUtZUKD1B1i7frVJKckDY_5U/edit?usp=sharing)","8 Elementalist
1 Weaponmaster
2 Daoist",,11,"Sakai, Teisei, Tian Yin",,"After a ritual that pushed her to her limits, Kage now resembles more of a person and less of a walking nightmare. Standing at roughly five feet four, the young Half-Kitsune seems far healthier than when she first appeared on the Worldhelm. She now possesses an athletic physique befitting her station, no longer marred by the side-effects of her training. While her almost glowing cyan eyes remain alongside the foxfire burning within her body, her expressions are no longer muted, wearing her emotions far more freely.

Her wardrobe consists of her old bodysuit, now far more distinguishable from her pitch black skin, however she no longer hides herself behind an oversized poncho, opting instead to wear a sleeveless open vest. Her attire is dotted with white and grey geometrical shapes and symbols, in the past she marked herself as such as to not truly disappear in pitch black darkness, nowadays however it’s simply to remember the past.","Qi Specialist : Void

Change damage to Air | Resistant to Air | Weak to Light | Able to preform Void domain arcanism rituals",- [Talisman of Clan Masamune](https://discord.com/channels/1169852846083153941/1354663843900428380/1354666874096324659),,"- Born in the forests surrounding Sakai, after a failed Kitsune expedition from the south.
- Her parent, instead of leaving her to the elements choose to excommunicate themselves from Sakai
- Years later the child would return to Sakai, now changed and alone
- Taking up the name ""Kage"", she'd become a Disciple under the leader of Sakai, seeking to learn balance and perhaps one day reverse whatever have caused their body to change
- Despite never fully fitting in, she'd find companionship with several new pupils who see her for the warrior she is, and not the monster that others see
- Having reached a plateau in her cultivation, her master suggested her to leave for the deserts. To either overcome her trials, or to do what many before her has and slaughter Yokai.
- Seeking a better alternative for the people of Sakai, she'd try and overcome her trials, only to be left in a pool of her own blood. Not long after she was caught in an all too familiar storm, lifting her to the worldhelm.",Guilt
"""Mongrel""",186680561501339651,1361797712844165120,6937864d-eb4a-4f88-a25c-60a868097c76,https://i.imgur.com/0K4gR3c.png,,https://docs.google.com/spreadsheets/d/1Na-MVZ-X2JSdoOHIM7mv7MeBts3YXsiWmvj1RDxJDXg/edit?usp=sharing,"Tinkerer 8, Weaponmaster 1",,9,Silver Rock - Haven - Terra,,"Yuna is a average 5'5 woman with white hair. Her piercing red eyes are analytical and fierce. Hiding most of her feelings behind a stoic visage. Though this is not to say she is afraid of voicing them to most people. Yuna regularly wears robes passed down from her family, she rarely speaks about the significance of them as she has yet to speak to them since her incident. They are painted over in black ink and dotted in minor tears.",,,,"||Yuna Manami was a starry eyed girl from South Rock when she first began her foraying into working as a temp. Born into a family of competent swordsmen, Yuna was directed onto the the temp worker path from a young age.

During her time she met a man named Gabriel, who served as a specialist and handler for a ragtag group of temp workers.

It wasn't long until Gabriel and her grew close. And she made fast friends with the other members of their group. Her future was looking bright, until a operation gone wrong took the lives of three of their group.

Pushed into a corner and desperate, her sword skills were not enough to save her friends. Despite the clear directions to not open the prototype box they had been tasked with collecting. Yuna did so, in the hopes that maybe whatever was in it would save her and allow her to avenge her fallen comrades.

Before she knew it, she had bound herself to the experimental weapon. Shackling her and the surviving members with debt to ETA.|| <- Gms :3",Loyalty
"""Trillion""",181593003008327680,1360690250669887488,f8071b3d-7986-49c1-a735-820123710795,https://i.imgur.com/ekvEbyt.png,[**- Consult the Scribes of Idyll -**](https://discord.com/channels/1169852846083153941/1170111183869706362/1332873290246524949),"[*""Any powerful demon's best kept secret is their true name."" - ""Trillion""*](https://docs.google.com/spreadsheets/d/1cscZWGXFaK-OtjjxxgLYjW-U8lW7lm0-lZ6JMSQPDiY/edit?gid=0#gid=0)","Floralist 7
Chimerist 2
Dancer 1",#339acc,10,"Aaruna, Third Layer of Idyll",,"""Trillion"" stands at a modest height of 5'9"", with a slim, athletic frame akin to that of a young adult. His youthful appearance is marked by his vibrant blue hair and glowing golden eyes; however, he is also easily distinguished by his demonic features that have manifested with his time as a revered Witch of Aaruna. Equally vibrant blue scales fleck across his face, neck, and limbs; and his slender fingers are complemented by long and sharp, black nails. Despite this, there is an overall welcoming warmth to his composure.",Idyllic Soul (Demon),,Devoted to Kuzunoha,"- Once the leader of a great Circle in Idyll's Third Layer.
- No longer a Witch of the Circles, he now seeks to find a new way of surviving.
- Wishes to spread his pacifistic ideals in order to hopefully bring peace to Kuzunoha of Idyll.",Pacifism
???,161286356977451009,,1be5f479-dd16-44e8-a6e8-9634c8502120,,,,"Tinkerer, Merchant, Sharpshooter",,5,Lhodos,,,,,,,Unity
A'shibah,181593003008327680,1362083313355067648,d49fe257-57ea-4820-99c5-2619e7051d86,https://i.imgur.com/LrrhuTc.jpeg,[**† ~The Reaper Seeks You~ †**](https://discord.com/channels/1169852846083153941/1170111183869706362/1361004544703856690),"[*""No one hurts my brother ... except me!""*](https://docs.google.com/spreadsheets/d/136lDqDNwMlPUoXgLkyJLYlqSFSXfNx9x0LwqPGY77g8/edit?gid=0#gid=0)","Wayfarer 1
Arcanist 3
Fury 1",000000,5,"The Hiear Warrens
Windhaven, Nezmira",,"A'shibah is tall, even for Hiear standards, and stands at an impressive 6'3"" (7'2"" with his ears perked). His hair and fur are a shock of white, as is iconic for the Hiear of his family, and his eyes are a piercing gold. Though fraternal twins, A'shibah is actually quite different than his brother, Levan, putting the obvious hereditary genes aside. He seems to bear an oppressive aura of intimidation and despair as he rarely speaks anymore; however, despite this, there still appears to be a hint of good and kindness about him, especially with regards to his brother.",Souls Entwined,,,"- Born the seventh son of a Hiear merchant family.
- Family was killed; but used his body to shield his twin brother, Levan.
- Levan failed a ritual to revive the family, A'shibah took the consequence by making a deal with Akhir.
- A'shibah promised his soul to oblivion, but Musta'khan managed to save him by binding the brothers together.
- Now lives inside of Levan, sharing the same soul vessel.",Brotherhood
Abhila (Asva),173539943426031616,1315508218717540352,f872a272-8cda-4e34-be47-db2548618063,https://cdn.discordapp.com/attachments/1220388900703572018/1302062879234855054/undead_snake_by_piloufac_detlgtp-fullview.png?ex=672d578d&is=672c060d&hm=9c1b7a04153df663b5db6a3ee72eb143e9c00a5dbf5f4e653c6edfa02c21d346&,,https://docs.google.com/spreadsheets/d/1p6iqvB3B4O3W-AnFqmamVrUO9Ma0KiWPU9F9OkezMKY/edit?gid=0#gid=0,"Guardian 1
Dancer 1
Chanter 3
Chimerist **M**",,15,Bahata (Tiger Lands),,"A long green snake.....That is sadly is Asva who still holds glimmer of human sadness in his eyes. 
Now with his human voice stolen he fully fits the part of a snake.......he also got bigger.",Beast Who Spoke,,,,Atonement
Adelphel Durand,95869822574809088,1365832725755461632,53809819-988f-44a5-bd61-fa49ca2be6ff,https://i.pinimg.com/736x/4c/9f/c3/4c9fc3968dc532d8bc53a35101b72578.jpg,,https://docs.google.com/spreadsheets/d/1ndHlIeAhAsfyIXXFBLH72X_Bio8GqPcgrVvIIg7p9yA/edit?usp=sharing,"1 Guardian
2 Lightblade
7 Spiritist",,10,"Kor'Tarion, Alder Wilds",,"A man standing at about 5'11, medium length dark brown hair and a darker olive skin tone with hazel hued eyes, they have an odd faint glow about them in both eyes and body. Holding a genuinely young and kind expression that easily shifts to earnest one in times of hardship and danger. Their hands are somewhat bruised and rough from work and battle. They are very well acquainted to physical labor of many kinds for long hours just to get by during travels and it shows.",The Long Dream,,,"- Adelphel was initially a formless spirits that simply existed in nature until captured by a Necromancer to be used in a magical experiment for a subservient creation in the wake of recent disasters. They were augmented, altered and bound into a humanoid body, however all the changes caused instability in the magic and retained free will to act independently. Deemed a failure as a result.
- They have traveled throughout Kor'Tarion helping those they come across of all kinds when able without discrimination.
- They offer aid for many issues, from things like helping with a farm or defending people from life or death situations, doing so without want of reward in return.
- They appears to be a knight of some kind in attire but holds no real symbol nor claims any titles.
- They don't appear to have memories of their past, in a sense of they remember having parents and living in a nice village but nothing solid. The lack of past and memories causes them to cherish new meetings.",Hope
Aelina Van Deivoet,151914442035036160,1363126453008601088,475300c9-ddf9-4821-86de-70795ee619e7,https://i.imgur.com/dK75GCa.jpeg,,https://docs.google.com/spreadsheets/d/134gqfUvaQQj35S-2OuDokqOuThYd9au-OJ_wcTxkUcw/edit,Invoker ★ / Elementalist 2/ Wayfarer 1,,13,"Ripplith, Kaiway",,"A purple haired woman wearing a prom and proper uniform of the Gnosis Academy, Aelina has fair skin and bright violet eyes. Two black horns poke out of the top of her head and her hands are adorned with 9 metal rings of various colors. 

Her sword form is a large curved blade with holes in the back with loose rings hanging from each one but the first.",Regal Vessel,,,"A student of the Gnosis Academy House of Treasures, Aelina has become a regalia of Kaiway. At home in Ripplith she is from a former noble house of storm sorcerers that is under the Mermaid Queen.",Abandonment
