"Username","Character","UserID","Method of Departure","Date of Departure"
"@desyov","Naomi","247940619022893065","Retirement","2025-06-24"
"@angrykitsu","Zoe Michaels","169795599758131200","Retirement","2025-06-24"
"@caelum_blue","Kaalim Angura","886623433306288158","Retirement","2025-06-21"
"@mutemissy","Vania","906579876792918036","Retirement","2025-06-18"
"@galen876","Ayan Jabir","413926319886303233","Retirement","2025-06-18"
"@brooms","Gerel","140595221300772864","Retirement","2025-06-14"
"@agentdj","Violet","319372431221587968","Retirement","2025-06-14"
"@emgry","Mongrel","186680561501339651","Retirement","2025-06-11"
"@missingpath","Fox","181544205796114433","Retirement","2025-06-11"
"@lenpendragon","Arashi","95487748466544640","Retirement","2025-06-11"
"@mike_miguel_michael","Mabilis Na'ulan","178284834978791425","Retirement","2025-06-11"
"@.galebolg.","Alejandra","234838935442948098","Retirement","2025-06-07"
"@angrykitsu","Marie","169795599758131200","Retirement","2025-06-03"
"@leplep","Ephraim","106596968976957440","Sacrifice","2025-05-30"
"@maxxinejean","Vespa","135262899844284416","Retirement","2025-05-29"
"@sirgabite","Cynthia","80826834912018432","Retirement","2025-05-28"
"@madamezuri","Bellamie Ghoroznova","457645105122115615","Sacrifice","2025-05-28"
"@.galebolg.","J'yuto","234838935442948098","Sacrifice","2025-05-28"
"@missingpath","Dawn of Nezmira (Zero)","181544205796114433","Prestigious Retirement","2025-05-26"
"@foxfacesuicide","Grimalkin II","181593003008327680","Other","2025-05-23"
"@letiana","Olia Vol","299015281853071360","Prestigious Retirement","2025-05-14"
"@desyov","Milo Fleiss","247940619022893065","Prestigious Retirement","2025-05-14"
"@saltmammoth","Dehua","560244151258578964","Retirement","2025-05-08"
"@angrykitsu","Sun Si Yu","169795599758131200","Retirement","2025-05-08"
"@rastamufasa","Yuzuru Eiji","283019070578753536","Retirement","2025-05-07"
"@mssugarpop","Alder","163635515386626049","Retirement","2025-05-06"
"@letiana","Msrah","299015281853071360","Retirement","2025-05-04"
"@seraphim","Runihura","108744783031185408","Retirement","2025-05-04"
"@facinarose","Emmaline ""M"" Daley","194955560276197377","Retirement","2025-05-04"
"@sussy_arata","Kage","155487148294799360","Retirement","2025-04-28"
"@solcarona","Eris L'arca","226351330950643713","Retirement","2025-04-27"
"@mssugarpop","Primrose","163635515386626049","Retirement","2025-04-19"
"@samikazuki","Song-5","173547590694993920","Prestigious Retirement","2025-04-17"
"@rastamufasa","Brandr Vol Sieve","283019070578753536","Prestigious Retirement","2025-04-15"
"@nikolaim.","Zeul","419689143443128321","Retirement","2025-04-14"
"@angrykitsu","Kazuko","169795599758131200","Retirement","2025-04-13"
"@facinarose","Caerwyn","194955560276197377","Retirement","2025-04-12"
"@honeydewmelons","Johanna Atherton Verstappen","84441917282062336","Prestigious Retirement","2025-04-12"
"@rastamufasa","Sir Galahad","283019070578753536","Retirement","2025-04-11"
"@saruno","Ophelia","140811574737764352","Retirement","2025-04-06"
"@2naf1sh","Gaspar Pianissimo","365605862615810049","Retirement","2025-04-06"
"@agentdj","Robin","319372431221587968","Retirement","2025-04-06"
"@vittinhodosus","Xi Jianghsi","178906027914297344","Other","2025-04-06"
"@rayhammer","Mitchell Quill","200273794969894912","Other","2025-04-04"
"@madamezuri","Khasir","457645105122115615","Prestigious Retirement","2025-04-03"
"@biffmcmanly","Tucker","243746887780270081","Other","2025-04-01"
"@doobledeedooble","Loftur, Born Angel of Utopia","223253130417012736","Other","2025-04-01"
"@sawzie","Benedikt ""Benny"" Vasilyev","66337541518790656","Retirement","2025-03-29"
"@incognegro","Auro","118899054179516417","Retirement","2025-03-29"
"@samikazuki","Ixtab K'awixi","173547590694993920","Retirement","2025-03-29"
